application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2013-06-20,Liberia,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,female
,2019-12-10,Mexico,Anne J. Greer,remand,,,,,female
,2019-01-11,,Charles Adkins-Blanch,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2019-12-26,Bhutan,Blair O'Connor; Anne J. Greer; Mark Noferi,sustain,,,,,male
,2019-08-30,Mexico,Anne J. Greer; Mark Noferi,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-08-01,Mexico,Edward F. Kelly,remand,social,family-based,child; family,"Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",female
CAT,2019-01-23,Guatemala,Philip J. Montante Jr.; Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-08-23,Sri Lanka,Anne J. Greer,remand,religion; social; political,family-based,ethnicity,,male
,2019-11-18,Mexico,Edward F. Kelly,remand,,family-based,child,,male
,2013-09-09,Ghana,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2019-07-01,,Ana Landazabal Mann; Hugh Mullane,sustain,,,,,male
,2013-05-22,Mexico,Gabriel Gonzalez,remand,,,,,male
withholding_of_removal; CAT,2019-02-22,Guatemala,Charles Adkins-Blanch; Edward R. Grant,remand,political,family-based,partner,,female
asylum; withholding_of_removal,2019-07-03,Honduras,Blair O'Connor,sustain,social; political,gang-based,gang,,male
,2013-12-17,Pakistan,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,,,,male
,2019-05-06,Mexico,Gabriel Gonzalez,remand,nationality,,,,male
,2013-11-18,Cuba,Gabriel Gonzalez,dismiss,,,,,female
,2019-05-02,Vietnam,Blair O'Connor,sustain,,,,,female
,2013-10-03,El Salvador,Edward R. Grant; Hugh Mullane,deny,,,,,male
asylum; withholding_of_removal,2019-10-07,El Salvador,Keith E. Hunsucker; Ellen Liebowitz; Michael J. Creppy,remand,religion; social; political,gang-based,gang,,male
,2019-10-29,Mexico,Ellen Liebowitz; Keith E. Hunsucker; Garry D. Malphrus,,,,,,male
,2013-01-18,Guatemala,Charles Adkins-Blanch,grant,,,,,male
asylum; withholding_of_removal; CAT,2019-10-29,,Edward F. Kelly,remand,,,,,unkown
,2013-08-05,Philippines,Ellen Liebowitz,grant,nationality,,,,male
,2019-12-13,Mexico,Edward F. Kelly; Hugh Mullane,grant,,family-based,family,,male
,2013-11-26,Vietnam,Charles Adkins-Blanch,deny,nationality,,,,male
,2019-05-08,Mexico,Anne J. Greer,sustain,,,,,male
,2019-06-17,,Charles Adkins-Blanch,grant,race,,,,male
,2019-08-29,El Salvador,Edward F. Kelly; Hugh Mullane,remand,,,,,male
,2019-01-22,,Mark Noferi,remand,,,,,male
,2013-07-03,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2019-08-29,Guatemala,Ellen Liebowitz,return,,,,,male
,2013-08-14,Dominican Republic,Anne J. Greer,sustain,,,,,male
,2019-02-19,,Edward R. Grant,remand,,,,,unkown
withholding_of_removal,2019-04-01,El Salvador,Anne J. Greer,remand,,,,,female
,2013-06-06,Philippines,Charles Adkins-Blanch; Philip J. Montante Jr.,sustain,,,,,male
,2019-04-03,Mexico,Blair O'Connor; Philip J. Montante Jr.,remand,,family-based,child,,female
,2019-12-05,Georgia,Edward R. Grant,terminate,,,,,female
,2013-01-10,Thailand,Anne J. Greer,,,,,,female
asylum; withholding_of_removal,2019-12-04,Guatemala,Edward R. Grant,remand,,,,,male
,2019-07-19,Mexico,Ana Landazabal Mann,remand,,,,,male
,2019-03-14,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2013-05-14,,Gabriel Gonzalez,deny,,,,,male
asylum; withholding_of_removal; CAT,2019-08-23,Venezuela,Edward F. Kelly,remand,political,,,,female
,2013-10-04,,Michael J. Creppy,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2019-06-14,El Salvador,Mark Noferi,grant,,,,,female
,2013-10-08,Guatemala,Charles Adkins-Blanch; Anne J. Greer,sustain,,,,,male
withholding_of_removal; CAT,2019-02-15,Mexico,Anne J. Greer,remand,,,,,male
,2019-03-27,Brazil,Edward F. Kelly,remand,,,,,male
,2019-10-18,,Gabriel Gonzalez,remand,,,,,female
,2013-09-13,Mexico,Michael J. Creppy; Edward R. Grant; Garry D. Malphrus; Hugh Mullane,dismiss,,family-based,family,,male
,2013-04-18,Cuba,Charles Adkins-Blanch,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-02-14,El Salvador,Blair O'Connor,remand,social; nationality,family-based; gang-based,husband; son; family; woman; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2013-06-26,Mexico,Michael J. Creppy,remand,,,,,male
withholding_of_removal,2018-09-06,Guatemala,Michael J. Creppy; Garry D. Malphrus; Mark Noferi,remand,nationality; religion; social; race; political,gang-based,gang,,male
,2019-08-23,Mexico,Anne J. Greer,remand,,family-based,son,,male
,2019-01-15,Mexico,Joan B. Geller,sustain,,,,,male
withholding_of_removal; CAT,2019-04-05,Guatemala,Ana Landazabal Mann,remand,,,,,male
,2019-11-21,Mexico,Ana Landazabal Mann,remand,,,,,male
,2019-06-28,Mexico,Anne J. Greer,terminate,,,,,female
,2019-12-27,India,Ellen Liebowitz; Keith E. Hunsucker,sustain,,,,,male
,2019-05-06,Georgia,Edward F. Kelly,sustain,,,,,female
,2019-08-08,Haiti,Blair O'Connor; Michael P. Baird,sustain,,family-based,child,,male
,2043-07-16,Uganda,Ana Landazabal Mann; Sirce E. Owen; Ellen Liebowitz; Philip J. Montante Jr.,terminate,,,,,male
asylum,2019-10-31,Honduras,Ellen Liebowitz; Michael J. Creppy; William A. Cassidy,remand,,,,,female
,2013-04-30,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2018-04-03,Mexico,Anne J. Greer,remand,,,,,male
,2019-12-19,Ghana,Edward R. Grant,sustain,,,,,male
,2019-04-12,Ecuador,Mark Noferi; Garry D. Malphrus; Hugh Mullane,remand,,family-based,child; partner,,male
,2013-03-15,,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2019-09-23,Nigeria,Michael P. Baird,remand,,family-based,child; wife,,male
,2019-01-17,Honduras,Anne J. Greer,sustain,,gang-based,gang,,male
,2019-07-03,,Ana Landazabal Mann,dismiss,,,,,male
withholding_of_removal; CAT,2019-05-10,Mexico,Anne J. Greer; Mark Noferi,remand,social,,,,male
,2019-08-30,,Earle B. Wilson; Edward R. Grant,remand,,,,,female
,2013-05-16,Vietnam,Gabriel Gonzalez,remand,,,,,male
,2019-03-28,Mexico,Charles Adkins-Blanch; Gabriel Gonzalez; Edward F. Kelly,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-07-10,Mexico,Ana Landazabal Mann; Hugh Mullane,sustain,,,,,male
,2013-08-22,India,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-07-24,Mexico,Ellen Liebowitz; Hugh Mullane,remand,social,family-based,son; family; daughter,,male
,2019-09-03,Grenada,Ellen Liebowitz; William A. Cassidy; Garry D. Malphrus,terminate,,,,,male
,2019-04-16,Mexico,Anne J. Greer; Gabriel Gonzalez,remand,,family-based,son,,female
,2013-06-06,Haiti,Charles Adkins-Blanch,sustain,,,,,male
,2019-06-10,,Ana Landazabal Mann,terminate,,,,,male
,2013-03-28,Brazil,Philip J. Montante Jr.,,,,,,male
,2013-06-28,Nigeria,Charles Adkins-Blanch,return,,,,,male
CAT,2019-05-17,Mexico,Mark Noferi,remand,,gang-based,gang,,male
asylum; withholding_of_removal; CAT,2019-12-13,El Salvador,Stephanie E. Gorman,remand,,,,,male
,2013-05-10,,Gabriel Gonzalez,deny,nationality,,,,male
withholding_of_removal; CAT,2019-11-21,Mexico,Mark Noferi; Anne J. Greer,sustain,,,,,male
,2013-05-10,,Charles Adkins-Blanch,deny,,,,,female
,2019-01-03,Mexico,Edward F. Kelly,remand,,,,,female
,2019-01-31,El Salvador,Charles Adkins-Blanch,sustain,,,,,male
,2019-11-12,Sudan,Ellen Liebowitz; William A. Cassidy; Garry D. Malphrus,sustain,,,,,male
,2019-06-13,Mexico,Ellen Liebowitz; Michael J. Creppy; Garry D. Malphrus,sustain,nationality,family-based,child,,male
,2019-07-25,,Edward R. Grant,remand,,,,,female
,2019-06-07,,Charles Adkins-Blanch; Edward F. Kelly,remand,,family-based,family; child,,male
,2018-09-24,Philippines,Charles Adkins-Blanch,remand,,,,,male
,2013-09-27,India,Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal; CAT,2017-11-03,China,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,grant,,,,,female
,2019-08-12,Haiti,Mark Noferi,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-12-31,Bangladesh,Edward F. Kelly,remand,nationality,family-based,parent,,male
,2019-09-26,,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,male
,2013-10-17,Mexico,Philip J. Montante Jr.,remand,,,,,male
asylum; withholding_of_removal,2019-11-14,Bangladesh,Blair O'Connor,remand,political,,,,male
,2019-07-31,Guatemala,Edward R. Grant,sustain,,,,,male
,2013-07-31,,Anne J. Greer,sustain,,,,,male
,2019-11-14,,William A. Cassidy,remand,,,,,female
,2019-12-12,El Salvador,Blair O'Connor; Anne J. Greer,remand,,gender-based,gay,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2019-04-26,Dominican Republic,Ana Landazabal Mann,terminate,,,,,male
,2013-04-18,,Anne J. Greer,remand,,,,,unkown
withholding_of_removal; CAT,2019-02-12,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2019-04-10,,Anne J. Greer,grant,,,,,male
,2019-06-14,Mexico,Anne J. Greer,remand,,,,,male
,2019-10-10,Bangladesh,Earle B. Wilson,dismiss,,,,,male
,2019-02-28,Azerbaijan,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,political,,,,male
,2019-03-26,Lebanon,Anne J. Greer,remand,,,,,male
,2019-08-07,El Salvador,Hugh Mullane,sustain,,,,,male
,2019-05-03,Mexico,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2019-08-02,Iraq,Anne J. Greer,remand,,,,,male
,2019-07-19,,Blair O'Connor,sustain,,gang-based,gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2013-09-30,Poland,Ana Landazabal Mann; Hugh Mullane,grant,,,,,female
,2019-02-28,Ivory Coast,Michael P. Baird; Ellen Liebowitz,sustain,,,,,female
,2019-08-05,Mexico,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2013-10-21,Mexico,Charles Adkins-Blanch,grant,,,,,male
asylum; withholding_of_removal; CAT,2019-05-06,Philippines,Anne J. Greer,remand,,,,,male
,2013-10-28,,Philip J. Montante Jr.,grant,,family-based,child,,unkown
,2019-08-15,Mexico,Anne J. Greer,remand,,,,,male
,2019-09-17,Mexico,Earle B. Wilson,remand,nationality,family-based,son,,female
,2013-11-13,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2019-10-11,Haiti,Mark Noferi,terminate,,,,,male
,2019-12-27,China,Edward R. Grant,remand,,,,,male
,2019-08-06,Ghana,Gabriel Gonzalez,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-06-18,Guatemala,Anne J. Greer; Gabriel Gonzalez; Mark Noferi,remand,nationality; religion; social; race; political,family-based; gender-based; gang-based,child; achild; homosexual; homosexuality; bisexuality; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2019-11-15,El Salvador,Deborah K. Goodwin,remand,,,,,male
,2019-11-26,Philippines,Ellen Liebowitz; Michael P. Baird; Michael J. Creppy,remand,,family-based,child,,male
CAT,2019-01-31,Mexico,Edward F. Kelly,remand,nationality,,,,male
,2019-09-30,,Michael P. Baird,remand,,,,,male
,2019-07-03,,Philip J. Montante Jr.,remand,,,,,male
,2019-03-19,Mexico,Michael J. Creppy; Garry D. Malphrus,remand,,,,,male
,2013-07-29,Mexico,Charles Adkins-Blanch,grant,,,,,female
asylum; withholding_of_removal; CAT,2019-12-09,Mexico,Earle B. Wilson,remand,,,,,male
,2013-08-09,Bahamas,Anne J. Greer,remand,nationality,,,,male
,2019-02-13,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,grant,,,,,male
,2013-12-13,,Gabriel Gonzalez,terminate,,,,,unkown
,2019-06-05,India,Edward R. Grant,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-10-04,Bangladesh,Anne J. Greer,remand,political,family-based,family,,male
asylum; withholding_of_removal; CAT,2019-12-18,El Salvador,Blair O'Connor; Anne J. Greer,,social; political,family-based; gang-based,husband; son; family; woman; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018); Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",female
asylum,2019-07-18,Romania,Ellen Liebowitz; Michael P. Baird; Garry D. Malphrus,remand,social,family-based,family,,female
,2013-12-12,Mexico,Charles Adkins-Blanch,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-10-04,Cuba,Philip J. Montante Jr.,remand,political,,,,male
,2013-08-30,Mexico,Anne J. Greer,remand,,family-based,child,,female
asylum; withholding_of_removal; CAT,2019-10-11,Sudan,Ellen Liebowitz; William A. Cassidy; Michael J. Creppy,,,,,,male
,2019-03-07,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2013-09-24,Mexico,Gabriel Gonzalez,grant,,,,,male
,2019-04-24,Italy,Anne J. Greer,,,,,,female
,2013-06-12,Honduras,Charles Adkins-Blanch,remand,nationality,,,,male
asylum; withholding_of_removal; CAT,2019-10-15,El Salvador,Blair O'Connor,dismiss,political,gang-based,gang,,male
,2019-09-03,Georgia,Edward R. Grant,remand,,,,,male
,2013-12-16,Honduras,Hugh Mullane,grant,,,,,male
,2019-10-31,Mexico,Edward F. Kelly; Gabriel Gonzalez,remand,,gang-based,gang,,male
,2019-01-04,India,Blair O'Connor,deny,,,,,male
,2019-09-03,China,Anne J. Greer,terminate,,,,,male
,2013-06-18,Nicaragua,Gabriel Gonzalez,dismiss,,,,,female
,2019-06-19,Honduras,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann,return,,,,,female
,2013-09-16,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2019-02-14,,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2019-06-03,El Salvador,Mark Noferi,remand,,,,,male
,2013-11-08,China,Ana Landazabal Mann; Garry D. Malphrus,remand,nationality,,,,male
,2019-05-31,,Mark Noferi; Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-04-04,Nigeria,Ellen Liebowitz; Michael P. Baird,remand,,,,,female
,2013-06-18,Ecuador,Gabriel Gonzalez,remand,,,,,male
asylum; withholding_of_removal,2019-10-31,Mexico,Michael J. Creppy,dismiss,social; nationality,gang-based,gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2013-01-17,,Ellen Liebowitz,remand,,,,,male
,2019-01-18,Jordan,Charles Adkins-Blanch,remand,,,,,male
,2019-03-18,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,female
,2019-04-24,,Ellen Liebowitz; Garry D. Malphrus; Mark Noferi,terminate,,,,,female
,2019-12-17,Guatemala,Ana Landazabal Mann,remand,,,,,male
,2013-03-15,Haiti,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2019-03-18,,Ana Landazabal Mann,dismiss,,,,,male
,2013-11-06,Guatemala,Charles Adkins-Blanch,remand,political,,,,male
asylum; withholding_of_removal; CAT,2019-11-29,Bangladesh,Anne J. Greer; Mark Noferi,remand,political,,,,male
,2019-12-13,Peru,Edward F. Kelly; Gabriel Gonzalez,remand,,family-based,husband,,female
,2013-10-23,Mexico,Charles Adkins-Blanch,,,,,,female
,2019-12-31,Fiji,Blair O'Connor; Anne J. Greer,sustain,,family-based,child,,male
,2019-10-25,Mexico,Ana Landazabal Mann; Hugh Mullane; Philip J. Montante Jr.,sustain,,,,,male
,2019-09-26,,Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
,2013-12-05,Mexico,Gabriel Gonzalez; Philip J. Montante Jr.,deny,,,,,male
,2019-03-19,,Charles Adkins-Blanch,grant,,,,,male
,2019-09-27,Mexico,Ana Landazabal Mann,grant,,family-based,child,,male
,2013-12-30,Pakistan,Edward R. Grant,sustain,,,,,male
,2019-11-12,Vietnam,Ana Landazabal Mann,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-12-06,Cameroon,Edward R. Grant,remand,political,,,,male
,2013-11-05,South Korea,Anne J. Greer,remand,,,,,female
,2019-06-25,Guatemala,Edward F. Kelly,dismiss,,,,,male
withholding_of_removal; CAT,2019-10-17,Mexico,Earle B. Wilson,remand,,gang-based,gang,,male
asylum; withholding_of_removal; CAT,2019-07-19,Yemen,Michael P. Baird; Michael J. Creppy; Garry D. Malphrus,remand,,,,,male
,2013-04-30,Mexico,Charles Adkins-Blanch,grant,,,,,female
asylum; withholding_of_removal; CAT,2019-03-14,Honduras,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,social,gang-based; family-based,gang; family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2019-10-29,,Earle B. Wilson; William A. Cassidy,dismiss,,,,,male
,2019-11-07,,Charles Adkins-Blanch,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-09-23,Cuba,Edward R. Grant,remand,political,,,,male
,2013-07-03,Mexico,Anne J. Greer,,nationality,,,,male
,2012-04-17,Dominican Republic,Philip J. Montante Jr.,deny,,,,,male
withholding_of_removal; CAT,2019-05-09,Pakistan,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2019-12-20,Ghana,Earle B. Wilson; Anne J. Greer,remand,,family-based,husband,,female
,2018-10-12,India,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2013-05-10,El Salvador,Edward R. Grant; Michael J. Creppy; Gabriel Gonzalez; Garry D. Malphrus,return,,,,,unkown
,2019-03-01,,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2019-04-09,Mexico,Charles Adkins-Blanch; Edward F. Kelly,remand,,family-based,child,,female
,2019-03-07,Haiti,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2019-04-05,,Edward R. Grant,remand,,,,,male
,2019-12-19,,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2013-09-25,El Salvador,Charles Adkins-Blanch,grant,,,,,male
,2019-09-20,Guyana,Earle B. Wilson,remand,nationality,family-based,family; wife,,male
,2019-05-17,,Edward R. Grant,remand,,,,,female
,2019-09-19,Mexico,Edward F. Kelly; Hugh Mullane,dismiss,,,,,male
,2019-09-27,Mexico,Anne J. Greer,remand,,family-based,child; partner,,unkown
CAT,2019-07-11,El Salvador,Anne J. Greer; Gabriel Gonzalez,remand,,family-based,parent,,male
,2019-04-25,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,,family-based,family; child; wife; daughter,,male
,2013-11-12,,Ellen Liebowitz,remand,,,,,male
,2013-10-07,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2019-04-17,Jamaica,Blair O'Connor,remand,,gang-based,gang,,male
,2013-09-06,Kenya,Charles Adkins-Blanch,remand,,,,,male
,2019-12-16,Iraq,Earle B. Wilson,grant,,,,,male
,2019-01-11,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2013-12-11,Dominican Republic,Ana Landazabal Mann; Gabriel Gonzalez,dismiss,,,,,female
,2019-02-13,China,Blair O'Connor,sustain,,,,,male
,2019-04-01,,Blair O'Connor,sustain,social; political,,,,male
,2019-09-26,Honduras,Anne J. Greer; Philip J. Montante Jr.,remand,,,,,male
,2019-07-01,Honduras,Anne J. Greer,sustain,,,,,female
,2013-11-07,Mexico,Charles Adkins-Blanch,grant,,,,,male
,2019-10-03,,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-08-09,Honduras,Ellen Liebowitz; Michael J. Creppy; Mark Noferi,remand,social,family-based,family,,unkown
,2019-06-04,El Salvador,Edward F. Kelly; Ana Landazabal Mann,sustain,political,,,,male
,2019-06-19,South Korea,Charles Adkins-Blanch,remand,,family-based,child; wife,,male
,2013-12-06,Mexico,Charles Adkins-Blanch,sustain,nationality,,,,male
,2013-09-05,,V. Stuart Couch,grant,,,,,male
asylum; withholding_of_removal; CAT,2019-12-30,Ukraine,William A. Cassidy,remand,,,,,male
,2019-06-21,,Edward R. Grant,remand,,,,,male
,2019-03-18,Mexico,Anne J. Greer,sustain,,,,,male
,2013-04-30,Vietnam,Charles Adkins-Blanch,sustain,,,,,male
,2019-10-11,El Salvador,Blair O'Connor; Anne J. Greer,terminate,,family-based,child,,male
,2019-02-28,Mexico,Anne J. Greer,dismiss,nationality,,,,female
asylum; withholding_of_removal; CAT,2019-11-14,France,Earle B. Wilson; Anne J. Greer,remand,,,,,female
,2013-06-25,Mexico,Charles Adkins-Blanch; Philip J. Montante Jr.,deny,nationality,,,,male
,2019-12-20,Dominican Republic,Blair O'Connor; Anne J. Greer; Mark Noferi,remand,,,,,male
,2013-07-23,Lebanon,Ellen Liebowitz; Ana Landazabal Mann; Michael J. Creppy; Hugh Mullane,sustain,,,,,male
,2019-04-01,Honduras,Edward F. Kelly; Ana Landazabal Mann,sustain,,gender-based,homosexual,,male
,2013-08-30,Guatemala,Charles Adkins-Blanch,remand,,,,,male
,2019-11-14,Mexico,Edward F. Kelly; Ana Landazabal Mann,remand,,family-based,parent,,male
,2019-07-11,,Ana Landazabal Mann; Hugh Mullane,grant,,,,,male
,2019-12-23,Georgia,Keith E. Hunsucker; Mark Noferi,remand,,,,,male
,2019-12-18,Honduras,Earle B. Wilson,remand,,,,,male
,2019-04-25,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,female
,2013-10-17,Kenya,Charles Adkins-Blanch,deny,,,,,male
CAT,2019-11-21,Mexico,Gabriel Gonzalez,remand,,,,,male
,2019-10-22,,Deborah K. Goodwin,grant,,,,,male
,2019-04-12,Romania,Anne J. Greer,terminate,,,,,male
asylum; withholding_of_removal; CAT,2019-10-28,Guatemala,Blair O'Connor; Anne J. Greer,sustain,,,,,female
asylum; withholding_of_removal; CAT,2019-09-26,Haiti,Michael P. Baird; Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-08-29,Bangladesh,Edward R. Grant,remand,social; political,family-based,family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018); Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",male
,2013-09-26,Kenya,Charles Adkins-Blanch,sustain,,,,,female
,2019-12-18,Guatemala,Stephanie E. Gorman,remand,race; social,,,,male
,2019-05-22,India,Edward F. Kelly; Ana Landazabal Mann,sustain,,,,,male
,2013-11-25,El Salvador,Charles Adkins-Blanch; Gabriel Gonzalez,remand,,,,,male
,2019-06-14,Bangladesh,Ana Landazabal Mann,sustain,,,,,male
,2019-03-19,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2019-05-10,Saudi Arabia,Edward R. Grant,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-05-24,El Salvador,Ana Landazabal Mann; Edward F. Kelly,remand,nationality; religion; social; race; political,family-based; gang-based,husband; son; family; gang,,female
CAT,2019-03-08,Mexico,Blair O'Connor,sustain,,family-based,child,,male
,2019-07-02,,Ana Landazabal Mann,dismiss,,,,,male
,2019-09-09,Bangladesh,Anne J. Greer; Mark Noferi,remand,,,,,male
,2019-10-30,,Michael P. Baird,remand,,,,,male
,2013-12-24,,Ellen Liebowitz,dismiss,,,,,male
,2019-03-25,Honduras,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2013-05-09,Poland,Anne J. Greer,sustain,,,,,male
,2019-03-12,China,Charles Adkins-Blanch,remand,,,,,male
,2019-11-12,,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2019-06-18,Ecuador,Hugh Mullane,remand,,family-based,family; daughter,,female
,2014-04-02,Ghana,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,return,,,,,male
,2019-11-21,,Ana Landazabal Mann,deny,,,,,female
,2019-05-06,Mexico,Ana Landazabal Mann,dismiss,,,,,female
,2019-11-14,Mexico,Blair O'Connor; Anne J. Greer,remand,,family-based,wife,,unkown
,2014-01-30,Dominican Republic,Gabriel Gonzalez,remand,,,,,female
,2019-09-19,El Salvador,Mark Noferi,sustain,,,,,male
,2019-08-19,Philippines,Michael P. Baird; Ellen Liebowitz,terminate,,,,,male
,2014-02-26,Mexico,Ana Landazabal Mann,deny,,,,,male
,2019-04-01,Honduras,Ana Landazabal Mann,deny,,,,,male
asylum; withholding_of_removal; CAT,2019-11-06,El Salvador,Michael P. Baird; Ellen Liebowitz; Garry D. Malphrus,remand,social,family-based,woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
asylum; withholding_of_removal; CAT,2019-09-26,Honduras,Edward F. Kelly; Ana Landazabal Mann,remand,,gender-based; family-based,transgender; child; woman,,female
,2014-08-12,Jamaica,William A. Cassidy,deny,,,,,female
,2019-04-18,Mexico,Ana Landazabal Mann; Edward F. Kelly,remand,,family-based,child,,male
,2019-05-02,,Michael P. Baird; Gabriel Gonzalez; Garry D. Malphrus; Hugh Mullane,terminate,,gang-based,gang,,male
,2014-02-03,Mexico,Earle B. Wilson,remand,,,,,male
,2019-04-22,India,Edward R. Grant,remand,,,,,male
,2014-06-19,El Salvador,Charles Adkins-Blanch,sustain,,,,,female
asylum; withholding_of_removal; CAT,2019-02-01,El Salvador,Anne J. Greer,remand,,,,,male
,2019-03-11,Mexico,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2019-03-25,Mexico,Edward R. Grant,remand,,,,,unkown
,2019-09-06,Cuba,Philip J. Montante Jr.,remand,,,,,male
,2014-02-11,,Michael J. Creppy,remand,,family-based,husband,,male
asylum; withholding_of_removal; CAT,2019-09-12,Cameroon,Edward R. Grant,remand,religion; race; social; political,,,,female
,2019-04-24,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2012-05-07,,Edward F. Kelly,remand,,,,,female
,2019-09-26,Guyana,Ana Landazabal Mann; Edward F. Kelly; Hugh Mullane,remand,,,,,male
,2014-12-12,India,Ana Landazabal Mann; Garry D. Malphrus,remand,,,,,male
,2019-05-13,Mexico,Gabriel Gonzalez; Edward R. Grant,grant,,,,,male
,2019-09-26,Brazil,Anne J. Greer,sustain,,,,,male
,2014-02-10,Mexico,Edward R. Grant,sustain,,,,,male
withholding_of_removal; CAT,2019-05-29,Mexico,Mark Noferi,remand,political; social; nationality,family-based,child; family,,male
,2019-08-15,Ukraine,Anne J. Greer,sustain,,,,,female
,2014-03-10,Mexico,Anne J. Greer,deny,,,,,male
asylum; withholding_of_removal; CAT,2019-09-03,Mexico,Anne J. Greer; Gabriel Gonzalez,remand,nationality,,,,male
,2014-07-08,Mexico,Gabriel Gonzalez,terminate,,,,,male
asylum; withholding_of_removal,2019-04-16,,Blair O'Connor,remand,social; nationality,family-based,woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2014-06-03,Honduras,Gabriel Gonzalez,deny,,,,,female
asylum,2019-06-06,China,Michael P. Baird; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2019-12-31,,Philip J. Montante Jr.,terminate,,,,,male
,2014-07-16,Italy,Anne J. Greer,remand,,,,,male
